model,category,image_AUROC,image_F1,pixel_AUROC,pixel_F1,fit_seconds,latency_ms,model_mb,FP,FN
patchcore,bottle,1.0000,1.0000,0.9845,0.7230,29,12.5,221,0,0
patchcore,cable,0.9903,0.9438,0.9859,0.6476,38,10.5,230,1,4
patchcore,capsule,0.9909,0.9630,0.9911,0.5428,36,11.1,227,1,3
patchcore,carpet,0.9952,0.9888,0.9904,0.5474,55,12.7,263,0,1
patchcore,grid,0.9937,0.9643,0.9864,0.3824,45,13.5,254,0,2
patchcore,hazelnut,1.0000,1.0000,0.9881,0.6185,97,15.7,330,0,0
patchcore,leather,1.0000,1.0000,0.9916,0.3687,41,13.2,242,0,0
patchcore,metal_nut,0.9961,0.9783,0.9847,0.8356,31,8.9,227,0,2
patchcore,pill,0.9480,0.9173,0.9789,0.7402,46,9.7,255,1,10
patchcore,screw,0.9770,0.9667,0.9901,0.3757,63,12.7,287,2,2
patchcore,tile,1.0000,0.9500,0.9608,0.6495,36,11.0,233,0,4
patchcore,toothbrush,0.9111,0.9032,0.9899,0.5747,6,9.2,131,2,1
patchcore,transistor,0.9883,0.9744,0.9783,0.5863,34,9.3,223,0,1
patchcore,wood,0.9800,0.9333,0.9533,0.4940,43,10.3,243,2,2
patchcore,zipper,0.9469,0.9667,0.9820,0.5176,37,12.2,239,2,2
fastflow,bottle,1.0000,1.0000,0.9631,0.6143,260,17.5,56,0,0
fastflow,cable,0.9558,0.9000,0.9682,0.5367,519,12.3,56,9,1
fastflow,capsule,0.9106,0.9369,0.9788,0.3829,478,12.3,56,4,3
fastflow,carpet,0.9841,0.9286,0.9837,0.4953,558,10.7,56,0,6
fastflow,grid,0.9577,0.9455,0.9872,0.4487,320,11.4,56,0,3
fastflow,hazelnut,0.7386,0.7848,0.9619,0.4082,732,15.9,56,13,4
fastflow,leather,1.0000,1.0000,0.9950,0.5402,470,11.8,56,0,0
fastflow,metal_nut,0.9284,0.9583,0.9409,0.6340,248,11.7,56,3,1
fastflow,pill,0.9361,0.8130,0.9655,0.5962,406,12.9,56,2,21
fastflow,screw,0.7476,0.8633,0.9574,0.1971,418,11.9,56,19,0
fastflow,tile,0.9776,0.9630,0.9482,0.6486,375,12.7,56,0,3
fastflow,toothbrush,0.8222,0.8276,0.9722,0.3540,132,12.1,56,2,3
fastflow,transistor,0.9867,0.9474,0.9855,0.6818,462,16.7,56,0,2
fastflow,wood,0.9900,0.9831,0.9658,0.4931,504,12.1,56,0,1
fastflow,zipper,0.9740,0.9310,0.9782,0.4988,322,14.8,56,2,6
efficientad,bottle,1.0000,1.0000,0.9874,0.8101,3604,5.9,120,0,0
efficientad,cable,0.9453,0.9111,0.9859,0.6768,5616,6.9,157,3,5
efficientad,capsule,0.9333,0.9159,0.9813,0.5323,5318,8.0,148,3,6
efficientad,carpet,0.9952,0.9888,0.9500,0.3980,4885,5.1,139,0,1
efficientad,grid,1.0000,0.9825,0.9387,0.5176,3634,7.0,118,0,1
efficientad,hazelnut,0.9543,0.8923,0.9524,0.5302,4828,8.4,135,1,6
efficientad,leather,1.0000,0.9048,0.9701,0.5670,5045,6.2,143,0,8
efficientad,metal_nut,0.9884,0.9787,0.9719,0.8117,3673,6.4,138,1,1
efficientad,pill,0.9935,0.9077,0.9835,0.7179,4219,6.2,167,0,12
efficientad,screw,0.9667,0.9291,0.9914,0.5282,3873,8.6,164,8,1
efficientad,tile,1.0000,0.9880,0.9039,0.7377,4388,9.7,139,0,1
efficientad,toothbrush,1.0000,1.0000,0.9411,0.4620,5436,7.1,97,0,0
efficientad,transistor,0.9917,0.9189,0.9614,0.7233,5247,5.1,129,0,3
efficientad,wood,0.9533,0.9355,0.8444,0.4339,4933,5.7,118,3,1
efficientad,zipper,0.9938,0.9833,0.9675,0.7293,3983,9.6,158,1,1
