model,category,n_defect,n_good,escape,overkill,overkill_zero_escape,f1_default,f1_test_selected,errors_default,errors_test_selected
efficientad,bottle,32,10,0,0,0,1.0000,1.0000,0,0
efficientad,cable,46,29,5,3,18,0.9111,0.9213,8,7
efficientad,capsule,55,12,6,3,9,0.9159,0.9474,9,6
efficientad,carpet,45,14,1,0,3,0.9888,0.9888,1,1
efficientad,grid,29,11,1,0,0,0.9825,1.0000,1,0
efficientad,hazelnut,35,20,6,1,7,0.8923,0.9091,7,7
efficientad,leather,46,16,8,0,0,0.9048,1.0000,8,0
efficientad,metal_nut,47,11,1,1,3,0.9787,0.9787,2,2
efficientad,pill,71,13,12,0,3,0.9077,0.9859,12,2
efficientad,screw,60,21,1,8,14,0.9291,0.9667,9,4
efficientad,tile,42,17,1,0,0,0.9880,1.0000,1,0
efficientad,toothbrush,15,6,0,0,0,1.0000,1.0000,0,0
efficientad,transistor,20,30,3,0,4,0.9189,0.9500,3,2
efficientad,wood,30,10,1,3,3,0.9355,0.9524,4,3
efficientad,zipper,60,16,1,1,2,0.9833,0.9836,2,2
fastflow,bottle,32,10,0,0,0,1.0000,1.0000,0,0
fastflow,cable,46,29,1,9,14,0.9000,0.9247,10,7
fastflow,capsule,55,12,3,4,5,0.9369,0.9565,7,5
fastflow,carpet,45,14,6,0,4,0.9286,0.9663,6,3
fastflow,grid,29,11,3,0,11,0.9455,0.9643,3,2
fastflow,hazelnut,35,20,4,13,16,0.7848,0.8193,17,15
fastflow,leather,46,16,0,0,0,1.0000,1.0000,0,0
fastflow,metal_nut,47,11,1,3,3,0.9583,0.9691,4,3
fastflow,pill,71,13,21,2,7,0.8130,0.9722,23,4
fastflow,screw,60,21,0,19,18,0.8633,0.8696,19,18
fastflow,tile,42,17,3,0,13,0.9630,0.9756,3,2
fastflow,toothbrush,15,6,3,2,2,0.8276,0.9375,5,2
fastflow,transistor,20,30,2,0,4,0.9474,0.9474,2,2
fastflow,wood,30,10,1,0,3,0.9831,0.9831,1,1
fastflow,zipper,60,16,6,2,7,0.9310,0.9587,8,5
patchcore,bottle,32,10,0,0,0,1.0000,1.0000,0,0
patchcore,cable,46,29,4,1,1,0.9438,0.9892,5,1
patchcore,capsule,55,12,3,1,3,0.9630,0.9735,4,3
patchcore,carpet,45,14,1,0,3,0.9888,0.9888,1,1
patchcore,grid,29,11,2,0,2,0.9643,0.9825,2,1
patchcore,hazelnut,35,20,0,0,0,1.0000,1.0000,0,0
patchcore,leather,46,16,0,0,0,1.0000,1.0000,0,0
patchcore,metal_nut,47,11,2,0,2,0.9783,0.9892,2,1
patchcore,pill,71,13,10,1,9,0.9173,0.9565,11,6
patchcore,screw,60,21,2,2,4,0.9667,0.9752,4,3
patchcore,tile,42,17,4,0,0,0.9500,1.0000,4,0
patchcore,toothbrush,15,6,1,2,2,0.9032,0.9375,3,2
patchcore,transistor,20,30,1,0,7,0.9744,0.9744,1,1
patchcore,wood,30,10,2,2,4,0.9333,0.9655,4,2
patchcore,zipper,60,16,2,2,12,0.9667,0.9752,4,3
